"country_name,Customer,Energy_Classificatory,Year,Energy_Consumption"
"Sweden,Energy,Biofuels,2006,NA"
"Sweden,Energy,Biofuels,2007,NA"
"Sweden,Energy,Biofuels,2008,NA"
"Sweden,Energy,Biofuels,2009,NA"
"Sweden,Energy,Biofuels,2010,0"
"Sweden,Energy,Biofuels,2011,0"
"Sweden,Energy,Biofuels,2012,0"
"Sweden,Energy,Biofuels,2013,0"
"Sweden,Energy,Biofuels,2014,0"
"Sweden,Energy,Biofuels,2015,0"
"Sweden,Energy,Biofuels,2016,0"
"Sweden,Energy,Biofuels,2017,0"
"Sweden,Energy,Biofuels,2018,0"
"Sweden,Energy,Biofuels,2019,0"
"Sweden,Energy,Biofuels,2020,0"
"Sweden,Energy,Biofuels,2021,0"
"Sweden,Energy,Biofuels,2022,0"
"Sweden,Energy,Biofuels,2023,0"
"Liechtenstein,Energy,Biofuels,2004,NA"
"Liechtenstein,Energy,Biofuels,2005,NA"
"Liechtenstein,Energy,Biofuels,2006,NA"
"Liechtenstein,Energy,Biofuels,2007,NA"
"Liechtenstein,Energy,Biofuels,2008,NA"
"Liechtenstein,Energy,Biofuels,2009,NA"
"Liechtenstein,Energy,Biofuels,2010,NA"
"Liechtenstein,Energy,Biofuels,2011,NA"
"Liechtenstein,Energy,Biofuels,2012,NA"
"Liechtenstein,Energy,Biofuels,2013,NA"
"Liechtenstein,Energy,Biofuels,2014,NA"
"Liechtenstein,Energy,Biofuels,2015,NA"
"Liechtenstein,Energy,Biofuels,2016,NA"
"Liechtenstein,Energy,Biofuels,2017,NA"
"Liechtenstein,Energy,Biofuels,2018,NA"
"Liechtenstein,Energy,Biofuels,2019,NA"
"Liechtenstein,Energy,Biofuels,2020,NA"
"Liechtenstein,Energy,Biofuels,2021,NA"
"Liechtenstein,Energy,Biofuels,2022,0"
"Liechtenstein,Energy,Biofuels,2023,0"
"Norway,Energy,Biofuels,2004,0"
"Norway,Energy,Biofuels,2005,0"
"Norway,Energy,Biofuels,2006,0"
"Norway,Energy,Biofuels,2007,0"
"Norway,Energy,Biofuels,2008,0"
"Norway,Energy,Biofuels,2009,0"
"Norway,Energy,Biofuels,2010,0"
"Norway,Energy,Biofuels,2011,0"
"Norway,Energy,Biofuels,2012,0"
"Norway,Energy,Biofuels,2013,0"
"Norway,Energy,Biofuels,2014,0"
"Norway,Energy,Biofuels,2015,0"
"Norway,Energy,Biofuels,2016,0"
"Norway,Energy,Biofuels,2017,0"
"Norway,Energy,Biofuels,2018,0"
"Norway,Energy,Biofuels,2019,0"
"Norway,Energy,Biofuels,2020,0"
"Norway,Energy,Biofuels,2021,0"
"Norway,Energy,Biofuels,2022,0"
"Norway,Energy,Biofuels,2023,0"
"Bosnia and Herzegovina,Energy,Biofuels,2004,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2005,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2006,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2007,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2008,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2009,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2010,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2011,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2012,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2013,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2014,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2015,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2016,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2017,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2018,NA"
"Bosnia and Herzegovina,Energy,Biofuels,2019,NA"
